"","Country.Territory","Status_2002","PR.Rating_2002","CL.Rating_2002","PR.Aggr_2002","CL.Aggr_2002","Status_2003","PR.Rating_2003","CL.Rating_2003","PR.Aggr_2003","CL.Aggr_2003","Status_2004","PR.Rating_2004","CL.Rating_2004","PR.Aggr_2004","CL.Aggr_2004","Status_2005","PR.Rating_2005","CL.Rating_2005","PR.Aggr_2005","CL.Aggr_2005","Total.Aggr_2005","Status_2006","PR.Rating_2006","CL.Rating_2006","PR.Aggr_2006","CL.Aggr_2006","Total.Aggr_2006","Status_2007","PR.Rating_2007","CL.Rating_2007","PR.Aggr_2007","CL.Aggr_2007","Total.Aggr_2007","Status_2008","PR.Rating_2008","CL.Rating_2008","PR.Aggr_2008","CL.Aggr_2008","Total.Aggr_2008","Status_2009","PR.Rating_2009","CL.Rating_2009","PR.Aggr_2009","CL.Aggr_2009","Total.Aggr_2009","Status_2010","PR.Rating_2010","CL.Rating_2010","PR.Aggr_2010","CL.Aggr_2010","Total.Aggr_2010","Status_2011","PR.Rating_2011","CL.Rating_2011","PR.Aggr_2011","CL.Aggr_2011","Total.Aggr_2011","Status_2012","PR.Rating_2012","CL.Rating_2012","PR.Aggr_2012","CL.Aggr_2012","Total.Aggr_2012","Status_2013","PR.Rating_2013","CL.Rating_2013","PR.Aggr_2013","CL.Aggr_2013","Total.Aggr_2013","Status_2014","PR.Rating_2014","CL.Rating_2014","PR.Aggr_2014","CL.Aggr_2014","Total.Aggr_2014","Status_2015","PR.Rating_2015","CL.Rating_2015","PR.Aggr_2015","CL.Aggr_2015","Total.Aggr_2015","Status_2016","PR.Rating_2016","CL.Rating_2016","PR.Aggr_2016","CL.Aggr_2016","Total.Aggr_2016","Status_2017","PR.Rating_2017","CL.Rating_2017","PR.Aggr_2017","CL.Aggr_2017","Total.Aggr_2017"
"101","Libya","NF",7,7,2,6,"NF",7,7,2,5,"NF",7,7,1,6,"NF",7,7,1,6,7,"NF",7,7,1,7,8,"NF",7,7,1,7,8,"NF",7,7,1,7,8,"NF",7,7,1,7,8,"NF",7,7,1,7,8,"NF",7,6,3,14,17,"PF",4,5,22,21,43,"PF",4,5,21,20,41,"NF",6,6,8,15,23,"NF",6,6,6,14,20,"NF",7,6,3,10,13,"NF",7,6,1,8,9
"102","Liechtenstein","F",1,1,40,58,"F",1,1,40,59,"F",1,1,40,59,"F",1,1,40,59,99,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,39,59,98,"F",1,1,39,59,98,"F",1,1,39,59,98,"F",1,1,39,59,98,"F",1,1,39,59,98,"F",2,1,33,58,91,"F",2,1,33,57,90
"103","Lithuania","F",1,2,38,51,"F",1,2,38,52,"F",2,2,35,52,"F",1,1,36,54,90,"F",1,1,36,54,90,"F",1,1,36,54,90,"F",1,1,37,54,91,"F",1,1,37,53,90,"F",1,1,37,53,90,"F",1,1,37,53,90,"F",1,1,37,53,90,"F",1,1,37,53,90,"F",1,1,38,53,91,"F",1,1,38,53,91,"F",1,1,38,53,91,"F",1,1,38,53,91
"104","Luxembourg","F",1,1,44,57,"F",1,1,40,60,"F",1,1,40,60,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,39,60,99,"F",1,1,38,60,98,"F",1,1,38,60,98,"F",1,1,38,60,98,"F",1,1,38,60,98
"105","Macedonia","PF",3,3,27,37,"PF",3,3,27,38,"PF",3,3,26,37,"PF",3,3,25,36,61,"PF",3,3,24,36,60,"PF",3,3,24,36,60,"PF",3,3,24,36,60,"PF",3,3,25,38,63,"PF",3,3,26,40,66,"PF",3,3,26,39,65,"PF",3,3,26,38,64,"PF",3,3,26,38,64,"PF",4,3,23,37,60,"PF",4,3,22,35,57,"PF",4,3,21,36,57,"PF",4,3,21,37,58
"106","Madagascar","PF",3,4,24,34,"PF",3,3,25,37,"PF",3,3,24,37,"PF",3,3,24,36,60,"PF",4,3,23,36,59,"PF",4,3,22,36,58,"PF",4,3,22,36,58,"PF",6,4,9,32,41,"PF",6,4,7,32,39,"PF",6,4,7,32,39,"PF",6,4,7,28,35,"PF",5,4,15,28,43,"PF",4,4,22,30,52,"PF",3,4,24,32,56,"PF",3,4,24,32,56,"PF",3,4,24,32,56
"107","Malawi","PF",4,4,23,32,"PF",3,4,25,32,"PF",4,4,23,34,"PF",4,4,23,34,57,"PF",4,3,23,35,58,"PF",4,4,23,34,57,"PF",4,4,23,34,57,"PF",3,4,26,34,60,"PF",3,4,26,34,60,"PF",3,4,25,32,57,"PF",3,4,26,34,60,"PF",3,4,26,34,60,"PF",3,4,27,34,61,"PF",3,3,27,37,64,"PF",3,3,26,37,63,"PF",3,3,26,37,63
"108","Malaysia","PF",5,5,17,25,"PF",5,4,17,28,"PF",4,4,19,30,"PF",4,4,19,31,50,"PF",4,4,19,29,48,"PF",4,4,19,27,46,"PF",4,4,20,29,49,"PF",4,4,20,29,49,"PF",4,4,20,29,49,"PF",4,4,20,29,49,"PF",4,4,20,28,48,"PF",4,4,19,28,47,"PF",4,4,19,27,46,"PF",4,4,18,27,45,"PF",4,4,18,26,44,"PF",4,4,18,27,45
"109","Maldives","NF",6,5,9,22,"NF",6,5,9,23,"NF",6,5,9,22,"NF",6,5,9,22,31,"NF",6,5,11,23,34,"NF",6,5,11,25,36,"PF",4,4,20,28,48,"PF",3,4,25,32,57,"PF",3,4,24,32,56,"PF",3,4,24,32,56,"PF",5,4,17,29,46,"PF",4,4,19,29,48,"PF",4,4,20,28,48,"PF",4,5,19,24,43,"PF",5,5,17,23,40,"PF",5,5,14,21,35
"110","Mali","F",2,3,30,43,"F",2,2,30,45,"F",2,2,31,44,"F",2,2,30,44,74,"F",2,2,30,44,74,"F",2,3,30,42,72,"F",2,3,30,40,70,"F",2,3,31,40,71,"F",2,3,31,41,72,"F",2,3,31,41,72,"NF",7,5,5,19,24,"PF",5,4,17,27,44,"PF",5,4,17,27,44,"PF",5,4,17,28,45,"PF",5,4,17,28,45,"PF",5,4,17,27,44
"111","Malta","F",1,1,40,59,"F",1,1,40,59,"F",1,1,40,59,"F",1,1,39,59,98,"F",1,1,39,59,98,"F",1,1,39,58,97,"F",1,1,39,59,98,"F",1,1,39,58,97,"F",1,1,39,58,97,"F",1,1,39,58,97,"F",1,1,39,58,97,"F",1,1,39,58,97,"F",1,1,39,58,97,"F",1,1,39,57,96,"F",1,1,39,57,96,"F",1,1,36,56,92
"112","Marshall Islands","F",1,1,37,53,"F",1,1,37,55,"F",1,1,37,55,"F",1,1,37,55,92,"F",1,1,37,55,92,"F",1,1,37,55,92,"F",1,1,36,55,91,"F",1,1,36,55,91,"F",1,1,36,55,91,"F",1,1,36,55,91,"F",1,1,36,55,91,"F",1,1,36,55,91,"F",1,1,36,55,91,"F",1,1,37,55,92,"F",1,1,37,55,92,"F",1,1,37,55,92
"113","Mauritania","PF",5,5,16,25,"NF",6,5,11,24,"NF",6,5,10,23,"PF",6,4,11,27,38,"PF",5,4,17,29,46,"PF",4,4,22,30,52,"NF",6,5,9,23,32,"NF",6,5,11,23,34,"NF",6,5,11,23,34,"NF",6,5,11,22,33,"NF",6,5,11,23,34,"NF",6,5,11,23,34,"NF",6,5,9,22,31,"NF",6,5,9,21,30,"NF",6,5,9,21,30,"NF",6,5,9,21,30
"114","Mauritius","F",1,2,36,52,"F",1,2,36,52,"F",1,1,36,53,"F",1,1,38,53,91,"F",1,2,37,52,89,"F",1,2,38,52,90,"F",1,2,38,52,90,"F",1,2,38,52,90,"F",1,2,38,52,90,"F",1,2,38,52,90,"F",1,2,38,52,90,"F",1,2,38,52,90,"F",1,2,38,52,90,"F",1,2,38,52,90,"F",1,2,37,52,89,"F",1,2,37,52,89
"115","Mexico","F",2,2,33,44,"F",2,2,33,44,"F",2,2,32,44,"F",2,2,35,45,80,"F",2,3,33,43,76,"F",2,3,32,41,73,"F",2,3,31,39,70,"F",2,3,30,39,69,"PF",3,3,29,37,66,"PF",3,3,29,37,66,"PF",3,3,28,37,65,"PF",3,3,28,37,65,"PF",3,3,28,36,64,"PF",3,3,28,37,65,"PF",3,3,28,37,65,"PF",3,3,26,36,62
"116","Micronesia","F",1,2,36,52,"F",1,1,36,55,"F",1,1,36,56,"F",1,1,37,56,93,"F",1,1,37,56,93,"F",1,1,37,56,93,"F",1,1,37,56,93,"F",1,1,37,56,93,"F",1,1,37,56,93,"F",1,1,37,56,93,"F",1,1,37,56,93,"F",1,1,37,56,93,"F",1,1,37,56,93,"F",1,1,37,56,93,"F",1,1,37,56,93,"F",1,1,37,56,93
"117","Moldova","PF",3,4,28,32,"PF",3,4,28,32,"PF",3,4,24,33,"PF",3,4,24,33,57,"PF",3,4,24,33,57,"PF",3,4,24,33,57,"PF",4,4,22,33,55,"PF",3,4,25,33,58,"PF",3,3,27,36,63,"PF",3,3,28,37,65,"PF",3,3,29,36,65,"PF",3,3,29,35,64,"PF",3,3,28,35,63,"PF",3,3,25,35,60,"PF",3,3,27,35,62,"PF",3,3,26,35,61
"118","Monaco","F",2,1,31,55,"F",2,1,31,56,"F",2,1,31,55,"F",2,1,31,56,87,"F",2,1,31,56,87,"F",2,1,31,56,87,"F",2,1,31,56,87,"F",2,1,31,56,87,"F",2,1,31,56,87,"F",2,1,31,56,87,"F",2,1,31,56,87,"F",2,1,31,57,88,"F",2,1,31,57,88,"F",2,1,31,57,88,"F",3,1,27,57,84,"F",3,1,25,57,82
"119","Mongolia","F",2,2,34,48,"F",2,2,34,49,"F",2,2,33,49,"F",2,2,34,49,83,"F",2,2,33,49,82,"F",2,2,33,49,82,"F",2,2,34,48,82,"F",2,2,35,50,85,"F",2,2,35,50,85,"F",2,2,35,50,85,"F",1,2,36,50,86,"F",1,2,36,50,86,"F",1,2,36,50,86,"F",1,2,36,50,86,"F",1,2,36,49,85,"F",1,2,36,49,85
"120","Morocco","PF",5,5,17,24,"PF",5,5,17,24,"PF",5,4,17,27,"PF",5,4,17,26,43,"PF",5,4,17,28,45,"PF",5,4,16,28,44,"PF",5,4,16,28,44,"PF",5,4,14,28,42,"PF",5,4,14,28,42,"PF",5,4,15,28,43,"PF",5,4,16,27,43,"PF",5,4,15,27,42,"PF",5,4,15,27,42,"PF",5,4,15,26,41,"PF",5,4,15,26,41,"PF",5,5,14,25,39
"121","Mozambique","PF",3,4,25,34,"PF",3,4,25,34,"PF",3,4,25,34,"PF",3,4,25,31,56,"PF",3,4,25,33,58,"PF",3,3,25,35,60,"PF",3,3,25,36,61,"PF",4,3,23,36,59,"PF",4,3,23,36,59,"PF",4,3,23,36,59,"PF",4,3,23,36,59,"PF",4,3,23,35,58,"PF",4,3,23,35,58,"PF",4,4,22,34,56,"PF",4,4,20,33,53,"PF",4,4,20,32,52
"122","Myanmar","NF",7,7,2,6,"NF",7,7,0,7,"NF",7,7,-1,6,"NF",7,7,-1,6,5,"NF",7,7,-2,6,4,"NF",7,7,-2,5,3,"NF",7,7,-3,5,2,"NF",7,7,-3,5,2,"NF",7,7,0,5,5,"NF",7,6,4,10,14,"NF",6,5,9,17,26,"NF",6,5,9,17,26,"NF",6,6,9,16,25,"NF",6,5,11,17,28,"PF",5,5,14,18,32,"PF",5,5,13,18,31
"123","Nagorno-Karabakh*","PF",5,5,14,21,"PF",5,5,14,21,"PF",5,5,14,21,"PF",5,5,14,21,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","Namibia","F",2,3,33,43,"F",2,3,33,43,"F",2,3,32,42,"F",2,2,31,46,77,"F",2,2,31,46,77,"F",2,2,31,46,77,"F",2,2,30,45,75,"F",2,2,30,46,76,"F",2,2,30,45,75,"F",2,2,30,46,76,"F",2,2,30,46,76,"F",2,2,30,46,76,"F",2,2,30,46,76,"F",2,2,30,47,77,"F",2,2,30,47,77,"F",2,2,30,47,77
"125","Nauru","F",1,2,37,49,"F",1,1,38,54,"F",1,1,38,55,"F",1,1,38,55,93,"F",1,1,38,55,93,"F",1,1,38,55,93,"F",1,1,38,55,93,"F",1,1,38,55,93,"F",1,1,38,55,93,"F",1,1,38,55,93,"F",1,1,38,55,93,"F",1,1,38,54,92,"F",1,2,37,51,88,"F",2,2,35,49,84,"F",2,2,35,46,81,"F",2,2,35,46,81
"126","Nepal","PF",4,4,21,29,"PF",5,4,17,28,"PF",5,5,16,25,"NF",6,5,9,19,28,"PF",5,4,17,28,45,"PF",5,4,17,29,46,"PF",4,4,21,29,50,"PF",4,4,21,29,50,"PF",4,4,20,28,48,"PF",4,4,21,27,48,"PF",4,4,20,27,47,"PF",4,4,23,27,50,"PF",3,4,24,27,51,"PF",3,4,25,26,51,"PF",3,4,24,28,52,"PF",3,4,25,30,55
"127","Netherlands","F",1,1,40,58,"F",1,1,40,60,"F",1,1,40,59,"F",1,1,40,59,99,"F",1,1,40,59,99,"F",1,1,40,59,99,"F",1,1,40,59,99,"F",1,1,40,59,99,"F",1,1,40,58,98,"F",1,1,40,59,99,"F",1,1,40,59,99,"F",1,1,40,59,99,"F",1,1,40,59,99,"F",1,1,40,59,99,"F",1,1,40,59,99,"F",1,1,40,59,99
"128","New Zealand","F",1,1,39,58,"F",1,1,39,57,"F",1,1,39,57,"F",1,1,39,57,96,"F",1,1,39,57,96,"F",1,1,39,57,96,"F",1,1,39,57,96,"F",1,1,39,58,97,"F",1,1,39,58,97,"F",1,1,39,58,97,"F",1,1,39,58,97,"F",1,1,39,58,97,"F",1,1,39,58,97,"F",1,1,40,58,98,"F",1,1,40,58,98,"F",1,1,40,58,98
"129","Nicaragua","PF",3,3,25,42,"PF",3,3,25,37,"PF",3,3,25,38,"PF",3,3,25,38,63,"PF",3,3,28,39,67,"PF",3,3,27,37,64,"PF",4,3,22,35,57,"PF",4,4,20,34,54,"PF",4,4,20,34,54,"PF",5,4,17,34,51,"PF",5,4,17,34,51,"PF",4,3,19,35,54,"PF",4,3,19,35,54,"PF",4,3,19,35,54,"PF",5,4,14,33,47,"PF",5,4,12,32,44
"130","Niger","PF",4,4,23,29,"PF",4,4,23,33,"PF",3,3,27,35,"PF",3,3,27,35,62,"PF",3,3,29,35,64,"PF",3,4,28,32,60,"PF",3,4,28,30,58,"PF",5,4,13,29,42,"PF",5,4,12,30,42,"PF",3,4,26,30,56,"PF",3,4,26,30,56,"PF",3,4,26,30,56,"PF",3,4,26,30,56,"PF",3,4,24,28,52,"PF",4,4,21,28,49,"PF",4,4,20,29,49
"131","Nigeria","PF",4,5,19,25,"PF",4,4,19,26,"PF",4,4,19,26,"PF",4,4,20,28,48,"PF",4,4,21,30,51,"PF",4,4,18,31,49,"PF",5,4,17,30,47,"PF",5,4,16,29,45,"PF",4,4,19,29,48,"PF",4,4,21,28,49,"PF",4,4,20,26,46,"PF",4,4,20,26,46,"PF",4,5,18,25,43,"PF",4,5,23,25,48,"PF",3,5,25,25,50,"PF",3,5,25,25,50
"132","North Korea","NF",7,7,0,0,"NF",7,7,0,0,"NF",7,7,0,0,"NF",7,7,0,0,0,"NF",7,7,0,1,1,"NF",7,7,0,2,2,"NF",7,7,0,2,2,"NF",7,7,0,1,1,"NF",7,7,0,1,1,"NF",7,7,0,2,2,"NF",7,7,0,3,3,"NF",7,7,0,3,3,"NF",7,7,0,3,3,"NF",7,7,0,3,3,"NF",7,7,0,3,3,"NF",7,7,0,3,3
"133","Northern Cyprus*","F",2,2,31,44,"F",2,2,31,45,"F",2,2,34,45,"F",2,2,34,46,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","Norway","F",1,1,40,60,"F",1,1,40,60,"F",1,1,40,60,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,40,60,100
"135","Oman","NF",6,5,10,17,"NF",6,5,6,17,"NF",6,5,10,17,"NF",6,5,10,18,28,"NF",6,5,10,18,28,"NF",6,5,10,18,28,"NF",6,5,10,18,28,"NF",6,5,9,18,27,"NF",6,5,9,18,27,"NF",6,5,9,18,27,"NF",6,5,9,17,26,"NF",6,5,9,17,26,"NF",6,5,9,17,26,"NF",6,5,8,17,25,"NF",6,5,8,17,25,"NF",6,5,6,17,23
"136","Pakistan","NF",6,5,11,22,"NF",6,5,11,24,"NF",6,5,11,23,"NF",6,5,11,24,35,"NF",6,5,11,24,35,"NF",6,5,8,18,26,"PF",4,5,18,22,40,"PF",4,5,19,24,43,"PF",4,5,20,24,44,"PF",4,5,20,23,43,"PF",4,5,20,22,42,"PF",4,5,21,21,42,"PF",4,5,20,22,42,"PF",4,5,20,21,41,"PF",4,5,21,22,43,"PF",4,5,19,24,43
"137","Pakistani Kashmir*","NF",6,5,7,23,"NF",7,5,5,21,"NF",7,5,5,21,"NF",7,5,5,20,25,"NF",7,5,5,20,25,"NF",7,5,3,20,23,NA,NA,NA,NA,NA,NA,"NF",6,5,8,21,29,"NF",6,5,8,21,29,"NF",6,5,8,21,29,"NF",6,5,8,21,29,"NF",6,5,8,21,29,"NF",6,5,9,20,29,"NF",6,5,9,19,28,"NF",6,5,9,19,28,"NF",6,5,9,19,28
"138","Palau","F",1,2,37,51,"F",1,1,37,53,"F",1,1,37,54,"F",1,1,37,55,92,"F",1,1,37,55,92,"F",1,1,37,55,92,"F",1,1,37,55,92,"F",1,1,37,55,92,"F",1,1,37,55,92,"F",1,1,37,55,92,"F",1,1,37,55,92,"F",1,1,37,55,92,"F",1,1,37,55,92,"F",1,1,37,55,92,"F",1,1,37,55,92,"F",1,1,37,55,92
"139","Palestinian Authority Administered Territories*","NF",5,6,14,16,"NF",5,6,12,15,"NF",5,6,12,15,"PF",5,5,16,17,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","Panama","F",1,2,36,46,"F",1,2,36,44,"F",1,2,36,44,"F",1,2,36,47,83,"F",1,2,36,47,83,"F",1,2,36,47,83,"F",1,2,36,47,83,"F",1,2,36,47,83,"F",1,2,36,47,83,"F",1,2,36,47,83,"F",1,2,36,46,82,"F",2,2,35,47,82,"F",2,2,35,47,82,"F",2,2,35,48,83,"F",2,2,35,48,83,"F",2,2,35,48,83
"141","Papua New Guinea","F",2,3,31,43,"PF",3,3,28,43,"PF",3,3,26,38,"PF",3,3,26,38,64,"PF",3,3,26,36,62,"PF",3,3,24,36,60,"PF",4,3,23,36,59,"PF",4,3,23,36,59,"PF",4,3,23,36,59,"PF",4,3,23,36,59,"PF",4,3,23,36,59,"PF",3,3,24,36,60,"PF",4,3,23,36,59,"PF",4,3,23,36,59,"PF",3,3,26,38,64,"PF",3,3,25,38,63
"142","Paraguay","PF",4,3,20,39,"PF",3,3,26,38,"PF",3,3,25,38,"PF",3,3,25,38,63,"PF",3,3,26,37,63,"PF",3,3,26,36,62,"PF",3,3,28,36,64,"PF",3,3,28,36,64,"PF",3,3,28,36,64,"PF",3,3,28,36,64,"PF",3,3,27,35,62,"PF",3,3,26,35,61,"PF",3,3,27,38,65,"PF",3,3,27,37,64,"PF",3,3,27,37,64,"PF",3,3,27,37,64
"143","Peru","F",2,3,32,43,"F",2,3,31,42,"F",2,3,32,41,"F",2,3,32,42,74,"F",2,3,32,41,73,"F",2,3,32,41,73,"F",2,3,32,41,73,"F",2,3,31,41,72,"F",2,3,31,41,72,"F",2,3,30,41,71,"F",2,3,30,41,71,"F",2,3,30,41,71,"F",2,3,30,41,71,"F",2,3,30,41,71,"F",2,3,31,41,72,"F",2,3,31,42,73
"144","Philippines","F",2,3,31,42,"F",2,3,31,42,"F",2,3,32,42,"PF",3,3,29,43,72,"PF",3,3,28,41,69,"PF",4,3,23,38,61,"PF",4,3,22,38,60,"PF",4,3,21,36,57,"PF",3,3,25,36,61,"PF",3,3,26,36,62,"PF",3,3,26,37,63,"PF",3,3,26,37,63,"PF",3,3,26,37,63,"PF",3,3,27,38,65,"PF",3,3,27,36,63,"PF",3,3,27,35,62
"145","Poland","F",1,2,37,51,"F",1,2,37,52,"F",1,1,38,54,"F",1,1,38,54,92,"F",1,1,38,53,91,"F",1,1,38,55,93,"F",1,1,38,55,93,"F",1,1,38,55,93,"F",1,1,38,55,93,"F",1,1,38,55,93,"F",1,1,38,55,93,"F",1,1,38,55,93,"F",1,1,38,55,93,"F",1,1,38,55,93,"F",1,2,37,52,89,"F",1,2,36,49,85
"146","Portugal","F",1,1,40,58,"F",1,1,40,58,"F",1,1,40,57,"F",1,1,40,57,97,"F",1,1,40,57,97,"F",1,1,40,58,98,"F",1,1,39,58,97,"F",1,1,39,58,97,"F",1,1,39,58,97,"F",1,1,39,58,97,"F",1,1,39,58,97,"F",1,1,39,58,97,"F",1,1,39,58,97,"F",1,1,39,58,97,"F",1,1,39,58,97,"F",1,1,39,58,97
"147","Puerto Rico*","F",1,2,37,52,"F",1,2,37,52,"F",1,2,37,52,"F",1,1,37,55,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F",1,1,37,55,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","Qatar","NF",6,6,6,15,"NF",6,6,7,15,"NF",6,5,8,17,"NF",6,5,9,18,27,"NF",6,5,9,18,27,"NF",6,5,10,18,28,"NF",6,5,10,18,28,"NF",6,5,10,18,28,"NF",6,5,10,18,28,"NF",6,5,10,18,28,"NF",6,5,10,18,28,"NF",6,5,10,18,28,"NF",6,5,10,18,28,"NF",6,5,9,18,27,"NF",6,5,9,17,26,"NF",6,5,7,17,24
"149","Romania","F",2,2,32,46,"F",2,2,32,47,"F",3,2,28,44,"F",2,2,30,45,75,"F",2,2,32,49,81,"F",2,2,32,49,81,"F",2,2,34,49,83,"F",2,2,34,49,83,"F",2,2,34,49,83,"F",2,2,34,49,83,"F",2,2,32,49,81,"F",2,2,35,49,84,"F",2,2,34,49,83,"F",2,2,34,49,83,"F",2,2,35,49,84,"F",2,2,35,49,84
"150","Russia","PF",5,5,17,25,"PF",5,5,16,25,"NF",6,5,10,25,"NF",6,5,11,24,35,"NF",6,5,11,23,34,"NF",6,5,9,23,32,"NF",6,5,8,23,31,"NF",6,5,7,20,27,"NF",6,5,7,20,27,"NF",6,5,7,21,28,"NF",6,5,7,20,27,"NF",6,5,7,19,26,"NF",6,6,7,16,23,"NF",6,6,7,15,22,"NF",7,6,5,15,20,"NF",7,6,5,15,20
"151","Rwanda","NF",7,5,4,18,"NF",6,5,10,20,"NF",6,5,11,20,"NF",6,5,11,21,32,"NF",6,5,10,23,33,"NF",6,5,11,23,34,"NF",6,5,11,23,34,"NF",6,5,10,24,34,"NF",6,5,8,19,27,"NF",6,5,8,17,25,"NF",6,6,8,16,24,"NF",6,5,9,17,26,"NF",6,6,9,16,25,"NF",6,6,8,16,24,"NF",6,6,8,16,24,"NF",6,6,8,15,23
"152","Samoa","F",2,2,32,45,"F",2,2,31,47,"F",2,2,32,48,"F",2,2,32,49,81,"F",2,2,32,49,81,"F",2,2,32,49,81,"F",2,2,32,49,81,"F",2,2,32,49,81,"F",2,2,32,49,81,"F",2,2,32,49,81,"F",2,2,32,49,81,"F",2,2,32,49,81,"F",2,2,32,49,81,"F",2,2,31,49,80,"F",2,2,30,50,80,"F",2,2,30,50,80
"153","San Marino","F",1,1,40,60,"F",1,1,40,60,"F",1,1,40,60,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,38,59,97,"F",1,1,38,59,97
